Species,Tree Name/Tag
Quercus rubra,11253*A
Quercus rubra,5859*B
Quercus rubra,8197*A
Betula nigra,1199*D
Betula nigra,1199*J
Betula nigra,1251-79*A
Betula nigra,1251-79*B
Aesculus flava,12651*C
Aesculus flava,12651*H
Aesculus flava,12651*I
Aesculus flava,925-79*B
Betula alleghaniensis,12843*A
Betula alleghaniensis,12843*D
Betula alleghaniensis,12843*E
Betula alleghaniensis,12843*H
Carya ovata,12907*B
Carya ovata,12907*D
Carya ovata,12907*G
Carya ovata,12907*I
Carya ovata,12907*N
Tilia americana,1323-82*A
Tilia americana,19804*A
Populus deltoides,16611*F
Populus deltoides,16611*J
Populus deltoides,16611*K
Carya glabra,20098*A
Carya glabra,2019*R
Carya glabra,2019*S
Carya glabra,6990*A
Quercus alba,358-82*A
